Table Name,Column Name,Data Type
User,id,String
User,email,String
User,unique,password
User,emailVerified,Boolean
User,verificationToken,String
User,unique,createdAt
User,updatedAt,DateTime
User,updatedAt,scripts
User,sessions,Session
User,tokenUsages,TokenUsage
Session,id,String
Session,userId,String
Session,title,String
Session,createdAt,DateTime
Session,updatedAt,DateTime
Session,updatedAt,conversations
Session,user,User
Session,tokenUsages,TokenUsage
Conversation,id,String
Conversation,sessionId,String
Conversation,role,String
Conversation,content,String
Conversation,Text,imageBase64
Conversation,Text,embedding
Conversation,createdAt,DateTime
Conversation,toolCalls,String
Conversation,parts,Json
Conversation,Add,this
Conversation,new,column
Conversation,to,store
Conversation,structured,data
Conversation,like,function
Conversation,session,Session
TokenUsage,id,String
TokenUsage,userId,String
TokenUsage,sessionId,String
TokenUsage,promptTokens,Int
TokenUsage,completionTokens,Int
TokenUsage,totalTokens,Int
TokenUsage,modelName,String
TokenUsage,createdAt,DateTime
TokenUsage,session,Session
TokenUsage,user,User
Script,id,String
Script,userId,String
Script,name,String
Script,description,String
Script,filePath,String
Script,code,String
Script,Text,createdAt
Script,updatedAt,DateTime
Script,updatedAt,user
